Node,X,Y,Z
679,185.000000,65.000000,19.500000
680,195.000000,65.000000,19.500000
681,5.000000,55.000000,19.500000
682,15.000000,55.000000,19.500000
683,25.000000,55.000000,19.500000
684,35.000000,55.000000,19.500000
685,45.000000,55.000000,19.500000
686,55.000000,55.000000,19.500000
687,65.000000,55.000000,19.500000
688,75.000000,55.000000,19.500000
689,85.000000,55.000000,19.500000
690,95.000000,55.000000,19.500000
691,105.000000,55.000000,19.500000
692,115.000000,55.000000,19.500000
693,125.000000,55.000000,19.500000
694,135.000000,55.000000,19.500000
695,145.000000,55.000000,19.500000
696,155.000000,55.000000,19.500000
697,165.000000,55.000000,19.500000
698,175.000000,55.000000,19.500000
699,185.000000,55.000000,19.500000
700,195.000000,55.000000,19.500000
701,5.000000,45.000000,19.500000
702,15.000000,45.000000,19.500000
703,25.000000,45.000000,19.500000
704,35.000000,45.000000,19.500000
705,45.000000,45.000000,19.500000
706,55.000000,45.000000,19.500000
707,65.000000,45.000000,19.500000
708,75.000000,45.000000,19.500000
709,85.000000,45.000000,19.500000
710,95.000000,45.000000,19.500000
711,105.000000,45.000000,19.500000
712,115.000000,45.000000,19.500000
713,125.000000,45.000000,19.500000
714,135.000000,45.000000,19.500000
715,145.000000,45.000000,19.500000
716,155.000000,45.000000,19.500000
717,165.000000,45.000000,19.500000
718,175.000000,45.000000,19.500000
719,185.000000,45.000000,19.500000
720,195.000000,45.000000,19.500000
721,5.000000,35.000000,19.500000
722,15.000000,35.000000,19.500000
723,25.000000,35.000000,19.500000
724,35.000000,35.000000,19.500000
725,45.000000,35.000000,19.500000
726,55.000000,35.000000,19.500000
727,65.000000,35.000000,19.500000
728,75.000000,35.000000,19.500000
729,85.000000,35.000000,19.500000
730,95.000000,35.000000,19.500000
